province,district,rural/urban,sexname,total,can read & write,can read only,cant read & write,not stated,literacy rate
bagmati,lalitpur,Rural,Total(Male+Female),26462,19762,62,6638,0,74.91497241327187
bagmati,lalitpur,Rural,Male,13144,10761,23,2360,0,82.04503956177723
bagmati,lalitpur,Rural,Female,13318,9001,39,4278,0,67.87805976873405
bagmati,kavrepalanchok,Total(Urban+Rural),Total(Male+Female),339440,256899,984,81552,5,75.97307329719538
bagmati,kavrepalanchok,Total(Urban+Rural),Male,165867,139558,418,25889,2,84.39050564608993
bagmati,kavrepalanchok,Total(Urban+Rural),Female,173573,117341,566,55663,3,67.92934384956185
bagmati,kavrepalanchok,Rural,Total(Male+Female),105473,71112,281,34079,1,67.68841314838868
bagmati,kavrepalanchok,Rural,Male,50782,38458,128,12195,1,75.98361624197551
bagmati,kavrepalanchok,Rural,Female,54691,32654,153,21884,0,59.98610374650308
bagmati,kavrepalanchok,Urban,Total(Male+Female),233967,185787,703,47473,4,79.7078220432796
bagmati,kavrepalanchok,Urban,Male,115085,101100,290,13694,1,88.10009992614155
bagmati,kavrepalanchok,Urban,Female,118882,84687,413,33779,3,71.58358708635454
bagmati,ramechhap,Total(Urban+Rural),Total(Male+Female),159274,108500,556,50211,7,68.4706857365295
bagmati,ramechhap,Total(Urban+Rural),Male,75154,58526,239,16386,3,78.19277749687309
bagmati,ramechhap,Total(Urban+Rural),Female,84120,49974,317,33825,4,59.78483119353305
bagmati,ramechhap,Rural,Total(Male+Female),97600,64850,471,32273,6,66.92725409836065
bagmati,ramechhap,Rural,Male,45951,34964,200,10785,2,76.52499401536419
bagmati,ramechhap,Rural,Female,51649,29886,271,21488,4,58.388352146217734
bagmati,ramechhap,Urban,Total(Male+Female),61674,43650,85,17938,1,70.9131887018841
bagmati,ramechhap,Urban,Male,29203,23562,39,5601,1,80.81703934527275
bagmati,ramechhap,Urban,Female,32471,20088,46,12337,0,62.00609774876044
bagmati,sindhuli,Total(Urban+Rural),Total(Male+Female),275899,200269,658,74931,41,72.82628788070997
bagmati,sindhuli,Total(Urban+Rural),Male,134612,107732,285,26573,22,80.24321754375538
bagmati,sindhuli,Total(Urban+Rural),Female,141287,92537,373,48358,19,65.75976558352856
bagmati,sindhuli,Urban,Total(Male+Female),132887,99361,304,33202,20,74.99981187023562
bagmati,sindhuli,Urban,Male,65043,53352,121,11560,10,82.21176759989545
bagmati,sindhuli,Urban,Female,67844,46009,183,21642,10,68.08560815989622
bagmati,sindhuli,Rural,Total(Male+Female),143012,100908,354,41729,21,70.80664559617375
